,CONGLOME,VIVIENDA,ID,P367,P368_TIEMPO,P368_HORAS,P368_DIAS,P369,P370_MESES,P370_NS,P371,P371_AGUA,P371_FORMULA,P371_LECHE_ENVASADA,P371_LECHE_VACA,P371_JUGO,P371_OTRO,P371_CALDOS,P371_NINGUNO
252,9342,58,7.0,1,1.0,,,1.0,,,123567,1,1,1,2,1,1,1,2
253,9400,41,6.0,1,1.0,,,2.0,15.0,,356,2,2,1,2,1,1,2,2
254,9404,31,5.0,1,2.0,12.0,,2.0,20.0,,1367,1,2,1,2,2,1,1,2
255,9445,30,6.0,1,2.0,2.0,,2.0,17.0,,16,1,2,2,2,2,1,2,2
256,9450,83,6.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
257,9450,85,2.0,1,2.0,3.0,,2.0,8.0,,67,2,2,2,2,2,1,1,2
258,9478,63,6.0,1,2.0,7.0,,2.0,12.0,,136,1,2,1,2,2,1,2,2
259,9508,62,6.0,1,3.0,,1.0,2.0,1.0,,13,1,2,1,2,2,2,2,2
260,9539,3,99.0,1,2.0,20.0,,1.0,,,8,2,2,2,2,2,2,2,1
261,9568,21,4.0,1,1.0,,,2.0,11.0,,167,1,2,2,2,2,1,1,2
262,9601,10,7.0,1,2.0,3.0,,2.0,6.0,,136,1,2,1,2,2,1,2,2
263,9601,10,8.0,1,2.0,3.0,,2.0,6.0,,136,1,2,1,2,2,1,2,2
264,9607,55,4.0,1,1.0,,,2.0,21.0,,1237,1,1,1,2,2,2,1,2
265,9638,64,6.0,1,1.0,,,2.0,20.0,,1367,1,2,1,2,2,1,1,2
266,9639,33,4.0,1,1.0,,,2.0,13.0,,135,1,2,1,2,1,2,2,2
267,9695,97,6.0,1,2.0,2.0,,2.0,,,1367,1,2,1,2,2,1,1,2
268,9719,3,99.0,1,2.0,1.0,,1.0,,,2,2,1,2,2,2,2,2,2
269,9735,50,5.0,1,1.0,,,1.0,,,1236,1,1,1,2,2,1,2,2
270,9736,33,5.0,1,1.0,,,2.0,14.0,,16,1,2,2,2,2,1,2,2
271,9736,33,6.0,1,1.0,,,2.0,11.0,,6,2,2,2,2,2,1,2,2
